,index,url,supermarket,referencia
201,1540,https://www.dia.es/compra-online/frescos/carne/cerdo/p/288011,dia-es,100206
316,1540,https://www.dia.es/compra-online/frescos/carne/cerdo/p/288011,dia-es,100207
202,1542,https://www.dia.es/compra-online/frescos/carne/cerdo/p/162621,dia-es,100208
203,1955,https://www.dia.es/compra-online/despensa/pates-y-foies/p/128824,dia-es,100209
204,1956,https://www.dia.es/compra-online/despensa/pates-y-foies/p/56620,dia-es,100210
205,1957,https://www.dia.es/compra-online/despensa/pates-y-foies/p/61982,dia-es,100211
206,3035,https://www.dia.es/compra-online/frescos/carne/cerdo/p/260861,dia-es,100212
207,3036,https://www.dia.es/compra-online/frescos/carne/cerdo/p/261238,dia-es,100213
208,3039,https://www.dia.es/compra-online/frescos/carne/cerdo/p/276127,dia-es,100214
209,3040,https://www.dia.es/compra-online/frescos/carne/cerdo/p/284931,dia-es,100215
210,3041,https://www.dia.es/compra-online/frescos/carne/cerdo/p/287874,dia-es,100216
1020,3041,https://tienda.mercadona.es/product/82647/panecillo-ajo-04,mercadona-es,100217
211,3091,https://www.dia.es/compra-online/frescos/charcuteria-y-quesos/cocidos/p/66118,dia-es,100218
212,3442,https://www.dia.es/compra-online/despensa/aperitivos/p/277834,dia-es,100219
213,3445,https://www.dia.es/compra-online/despensa/pates-y-foies/p/21473,dia-es,100220
214,4744,https://www.dia.es/compra-online/frescos/carne/cerdo/p/134262,dia-es,100221
215,4745,https://www.dia.es/compra-online/frescos/carne/cerdo/p/46810,dia-es,100222
216,4746,https://www.dia.es/compra-online/frescos/carne/cerdo/p/77106,dia-es,100223
217,4747,https://www.dia.es/compra-online/frescos/carne/mixto/p/261241,dia-es,100224
218,4748,https://www.dia.es/compra-online/frescos/carne/mixto/p/272174,dia-es,100225
219,4772,https://www.dia.es/compra-online/frescos/carne/cerdo/p/166707,dia-es,100226
220,4773,https://www.dia.es/compra-online/frescos/carne/cerdo/p/11077,dia-es,100227
221,4774,https://www.dia.es/compra-online/frescos/carne/cerdo/p/113270,dia-es,100228
222,4776,https://www.dia.es/compra-online/frescos/carne/cerdo/p/144690,dia-es,100229
223,4777,https://www.dia.es/compra-online/frescos/carne/cerdo/p/77103,dia-es,100230
224,4778,https://www.dia.es/compra-online/frescos/carne/mixto/p/244789,dia-es,100231
225,4779,https://www.dia.es/compra-online/frescos/carne/mixto/p/261242,dia-es,100232
226,4780,https://www.dia.es/compra-online/frescos/carne/mixto/p/272177,dia-es,100233
201,1540,https://www.dia.es/compra-online/frescos/carne/cerdo/p/288011,dia-es,100234
316,1540,https://www.dia.es/compra-online/frescos/carne/cerdo/p/288011,dia-es,100235
818,916,https://tienda.mercadona.es/product/3497/arreglo-puchero-vacuno-cerdo-pollo-bandeja,mercadona-es,100236
819,919,https://tienda.mercadona.es/product/2851/manos-cerdo-bandeja,mercadona-es,100237
820,920,https://tienda.mercadona.es/product/2688/tocino-cerdo-bandeja,mercadona-es,100238
821,921,https://tienda.mercadona.es/product/1892/hueso-blanco-cerdo-salado-bandeja,mercadona-es,100239
822,922,https://tienda.mercadona.es/product/1423/preparado-cerdo-salado-bandeja,mercadona-es,100240
823,924,https://tienda.mercadona.es/product/1945/espinazo-cerdo-salado-bandeja,mercadona-es,100241
824,928,https://tienda.mercadona.es/product/2689/espinazo-cerdo-bandeja,mercadona-es,100242
825,931,https://tienda.mercadona.es/product/2635/rabo-cerdo-bandeja,mercadona-es,100243
